Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1979, eco1, 1, 142.62, 14.46, 60, 285, 0, 
1980, eco1, 1, 106.64, 14.7, 64, 282, 0, 
1981, eco1, 1, 99.19, 14.34, 63, 290, 0, 
1982, eco1, 1, 126.63, 15.01, 0, 320, 0, 
1983, eco1, 1, 124.96, 14.6, 52, 304, 0, 
1984, eco1, 1, 123.88, 15.09, 0, 293, 0, 
1985, eco1, 1, 118.35, 15.29, 50, 321, 0, 
1986, eco1, 1, 89.07, 15.68, 26, 321, 0, 
1987, eco1, 1, 119.51, 15.02, 57, 270, 0, 
1988, eco1, 1, 94.58, 14.25, 58, 273, 0, 
1989, eco1, 1, 146, 14.72, 46, 309, 0, 
1990, eco1, 1, 125.48, 16.43, 0, 308, 0, 
1991, eco1, 1, 110.55, 15.89, 0, 304, 0, 
1992, eco1, 1, 125.81, 14.63, 20, 284, 0, 
1993, eco1, 1, 113.53, 14.96, 59, 289, 0, 
1994, eco1, 1, 117.39, 15.04, 51, 347, 0, 
1995, eco1, 1, 135.17, 14.85, 52, 294, 0, 
1996, eco1, 1, 131.03, 14.34, 61, 294, 0, 
1997, eco1, 1, 112.17, 14.45, 28, 298, 0, 
1998, eco1, 1, 125.02, 16, 0, 315, 0, 
1999, eco1, 1, 114.97, 15.35, 40, 321, 0, 
2000, eco1, 1, 99.41, 14.56, 44, 287, 0, 
2001, eco1, 1, 89.04, 15.24, 0, 285, 0, 
2002, eco1, 1, 114.34, 15.55, 53, 300, 0, 
2003, eco1, 1, 153.73, 14.73, 48, 321, 0, 
2004, eco1, 1, 117.54, 15.22, 51, 315, 0, 
2005, eco1, 1, 107.97, 15.32, 39, 307, 0, 
2006, eco1, 1, 117.91, 15.59, 52, 329, 0, 
2007, eco1, 1, 80.49, 16.01, 55, 299, 0, 
2008, eco1, 1, 109.98, 15.05, 0, 284, 0, 
2009, eco1, 1, 128.01, 14.9, 49, 321, 0, 
2010, eco1, 1, 109.93, 15.1, 58, 302, 0, 
2011, eco1, 1, 109.29, 16.25, 45, 281, 0, 
2012, eco1, 1, 101.82, 16.69, 0, 292, 0, 
2013, eco1, 1, 135.26, 14.98, 73, 292, 0, 
2014, eco1, 1, 114.88, 14.38, 75, 292, 0, 
2015, eco1, 1, 130.43, 15.66, 62, 365, 0, 
2016, eco1, 1, 109.86, 15.91, 45, 302, 0, 
2017, eco1, 1, 114.63, 15.95, 19, 301, 0, 
2018, eco1, 1, 174.08, 15.6, 0, 300, 0, 
2019, eco1, 1, 129.77, 16.11, 0, 296, 0, 
2020, eco1, 1, 172.85, 15.88, 21, 319, 0, 
2021, eco1, 1, 109.14, 15.66, 46, 294, 0, 
2022, eco1, 1, 126, 15.36, 41, 287, 0, 
2023, eco1, 1, 126, 15.36, 41, 287, 0, 
2024, eco1, 1, 126, 15.36, 41, 287, 0, 
2025, eco1, 1, 126, 15.36, 41, 287, 0, 
2026, eco1, 1, 126, 15.36, 41, 287, 0, 
2027, eco1, 1, 126, 15.36, 41, 287, 0, 
2028, eco1, 1, 126, 15.36, 41, 287, 0, 
2029, eco1, 1, 126, 15.36, 41, 287, 0, 
2030, eco1, 1, 126, 15.36, 41, 287, 0, 
2031, eco1, 1, 126, 15.36, 41, 287, 0, 
2032, eco1, 1, 126, 15.36, 41, 287, 0, 
2033, eco1, 1, 126, 15.36, 41, 287, 0, 
2034, eco1, 1, 126, 15.36, 41, 287, 0, 
2035, eco1, 1, 126, 15.36, 41, 287, 0, 
2036, eco1, 1, 126, 15.36, 41, 287, 0, 
2037, eco1, 1, 126, 15.36, 41, 287, 0, 
2038, eco1, 1, 126, 15.36, 41, 287, 0, 
2039, eco1, 1, 126, 15.36, 41, 287, 0, 
2040, eco1, 1, 126, 15.36, 41, 287, 0, 
2041, eco1, 1, 126, 15.36, 41, 287, 0, 
2042, eco1, 1, 126, 15.36, 41, 287, 0, 
2043, eco1, 1, 126, 15.36, 41, 287, 0, 
2044, eco1, 1, 126, 15.36, 41, 287, 0, 
2045, eco1, 1, 126, 15.36, 41, 287, 0, 
2046, eco1, 1, 126, 15.36, 41, 287, 0, 
2047, eco1, 1, 126, 15.36, 41, 287, 0, 
2048, eco1, 1, 126, 15.36, 41, 287, 0, 
2049, eco1, 1, 126, 15.36, 41, 287, 0, 
2050, eco1, 1, 126, 15.36, 41, 287, 0, 
2051, eco1, 1, 126, 15.36, 41, 287, 0, 
2052, eco1, 1, 126, 15.36, 41, 287, 0, 
2053, eco1, 1, 126, 15.36, 41, 287, 0, 
2054, eco1, 1, 126, 15.36, 41, 287, 0, 
2055, eco1, 1, 126, 15.36, 41, 287, 0, 
2056, eco1, 1, 126, 15.36, 41, 287, 0, 
2057, eco1, 1, 126, 15.36, 41, 287, 0, 
2058, eco1, 1, 126, 15.36, 41, 287, 0, 
2059, eco1, 1, 126, 15.36, 41, 287, 0, 
2060, eco1, 1, 126, 15.36, 41, 287, 0, 
2061, eco1, 1, 126, 15.36, 41, 287, 0, 
2062, eco1, 1, 126, 15.36, 41, 287, 0, 
2063, eco1, 1, 126, 15.36, 41, 287, 0, 
2064, eco1, 1, 126, 15.36, 41, 287, 0, 
2065, eco1, 1, 126, 15.36, 41, 287, 0, 
2066, eco1, 1, 126, 15.36, 41, 287, 0, 
2067, eco1, 1, 126, 15.36, 41, 287, 0, 
2068, eco1, 1, 126, 15.36, 41, 287, 0, 
2069, eco1, 1, 126, 15.36, 41, 287, 0, 
2070, eco1, 1, 126, 15.36, 41, 287, 0, 
2071, eco1, 1, 126, 15.36, 41, 287, 0, 
2072, eco1, 1, 126, 15.36, 41, 287, 0, 
2073, eco1, 1, 126, 15.36, 41, 287, 0, 
2074, eco1, 1, 126, 15.36, 41, 287, 0, 
2075, eco1, 1, 126, 15.36, 41, 287, 0, 
2076, eco1, 1, 126, 15.36, 41, 287, 0, 
2077, eco1, 1, 126, 15.36, 41, 287, 0, 
2078, eco1, 1, 126, 15.36, 41, 287, 0, 
