,MapCode,SpeciesName,CohortAge,CohortBiomass
8263,0,ACRU,30,151
8463,0,ACRU,30,169
8465,0,ACRU,60,1020
12142,0,LIST,10,31
10171,0,LIST,20,111
11609,0,LIST,20,111
11009,0,LIST,30,129
12135,0,LIST,30,129
11116,0,LIST,40,292
12825,0,LITU,30,139
13709,0,LITU,30,139
14042,0,LITU,30,139
14404,0,LITU,30,139
14321,0,LITU,60,1297
12724,0,LITU,120,926
181,0,PIEC,10,33
203,0,PIEC,30,127
1668,0,PITA,10,48
2734,0,PITA,10,70
3367,0,PITA,10,70
4277,0,PITA,10,70
6195,0,PITA,10,70
1569,0,PITA,20,144
1654,0,PITA,20,115
1687,0,PITA,20,144
2604,0,PITA,20,144
3130,0,PITA,20,144
4076,0,PITA,20,144
4194,0,PITA,20,144
4462,0,PITA,20,144
4871,0,PITA,20,144
5321,0,PITA,20,144
6072,0,PITA,20,144
3495,0,PITA,30,273
4387,0,PITA,30,273
5699,0,PITA,30,273
2404,0,PITA,40,450
3496,0,PITA,40,450
5999,0,PITA,40,450
6593,0,PITA,40,450
1501,0,PITA,50,597
5851,0,PITA,60,847
3558,0,PITA,70,866
3895,0,PITA,70,683
4880,0,PITA,70,866
3060,0,PITA,90,921
6241,0,PITA,120,1957
6837,0,PIVI2,20,131
7314,0,PIVI2,30,168
14688,0,PLOC,60,397
14696,0,PLOC,70,835
14804,0,PRSE2,20,50
14877,0,PRSE2,50,214
15656,0,QUAL,50,832
16198,0,QUFA,30,193
16141,0,QUFA,50,617
8381,1,ACRU,10,15
9305,2,ACRU,40,285
546,2,PIST,50,248
16808,2,QUMO4,40,500
11006,3,LIST,20,38
15539,3,QUAL,40,437
8998,4,ACRU,20,88
4107,4,PITA,50,827
11378,5,LIST,50,163
829,5,PITA,30,368
831,6,PITA,20,144
4112,6,PITA,30,318
6946,6,PIVI2,30,129
834,7,PITA,60,868
11381,8,LIST,10,20
16110,8,QUFA,10,53
13486,9,LITU,40,274
5211,9,PITA,20,382
4118,9,PITA,30,151
8524,10,ACRU,40,94
13612,10,LITU,20,62
4120,10,PITA,30,135
11635,11,LIST,20,111
843,11,PITA,20,144
4124,11,PITA,30,273
845,11,PITA,40,678
14395,12,LITU,10,27
7206,12,PIVI2,50,395
15204,12,QUAL,40,285
13014,13,LITU,150,1957
4130,13,PITA,30,442
3038,13,PITA,40,176
14673,14,PLOC,90,1382
854,15,PITA,90,669
7755,15,PIVI2,40,581
13017,16,LITU,80,993
15574,16,QUAL,140,2637
7866,17,ACRU,20,20
7691,17,PIVI2,30,78
16749,17,QUMO4,30,271
7774,18,ACRU,40,277
10194,18,LIST,30,280
863,19,PITA,30,273
864,19,PITA,50,597
7591,19,PIVI2,30,168
7765,20,ACRU,20,88
16506,20,QUMO4,20,607
6821,21,PIVI2,10,26
869,22,PITA,20,69
4150,22,PITA,30,120
8104,23,ACRU,20,88
7695,23,PIVI2,30,116
16455,23,QUMO4,50,582
8023,24,ACRU,30,151
12582,24,LITU,30,113
7819,25,ACRU,20,685
12470,25,LITU,30,168
13403,26,LITU,40,217
15476,26,QUAL,30,498
8807,27,ACRU,20,84
13650,27,LITU,10,27
880,27,PITA,20,174
14760,27,PRSE2,20,13
14018,28,LITU,20,450
884,28,PITA,20,69
15562,29,QUAL,10,25
13533,30,LITU,10,27
6923,30,PIVI2,20,356
15484,30,QUAL,20,131
13170,31,LITU,30,306
13051,31,LITU,40,150
4170,31,PITA,30,892
8939,32,ACRU,10,25
9789,32,FRPE,30,376
13783,32,LITU,40,131
9474,33,CAGL8,60,818
10038,33,LIST,90,1494
16169,34,QUFA,50,541
17097,34,QUST,30,205
9440,35,BENI,20,190
6740,35,PIVI2,30,133
15769,35,QUAL,10,38
4183,36,PITA,10,13
15971,36,QUCO2,10,148
6251,37,PITA,20,249
15741,37,QUAL,40,834
13312,38,LITU,100,707
15828,38,QUAL,40,494
8875,39,ACRU,20,78
14002,39,LITU,10,39
13559,40,LITU,20,52
13436,40,LITU,30,99
11214,41,LIST,30,85
15587,41,QUAL,20,232
11704,42,LIST,140,1739
16259,42,QUFA,140,2294
917,43,PITA,20,257
14785,43,PRSE2,40,92
10980,44,LIST,40,247
14174,44,LITU,50,405
4199,44,PITA,30,273
7160,44,PIVI2,30,168
10494,45,LIST,140,2059
15558,45,QUAL,120,1490
9674,46,FAGR,30,231
11837,46,LIST,30,92
12968,46,LITU,20,178
7284,46,PIVI2,40,382
268,47,PIEC,20,91
15939,47,QUCO2,20,72
8368,48,ACRU,30,103
11841,48,LIST,10,16
4213,49,PITA,10,74
15407,50,QUAL,90,3565
17163,50,QUVE,40,959
936,51,PITA,20,50
15698,51,QUAL,20,155
13099,52,LITU,10,33
13100,52,LITU,80,1459
15536,52,QUAL,30,353
10069,53,LIST,30,129
6938,53,PIVI2,30,166
9275,54,ACRU,10,25
7548,54,PIVI2,20,103
9602,55,CATO6,30,127
14079,55,LITU,20,46
945,55,PITA,20,78
16182,55,QUFA,10,15
8100,56,ACRU,10,20
949,56,PITA,30,320
10889,57,LIST,20,21
15427,57,QUAL,30,260
6991,58,PIVI2,30,351
12991,59,LITU,150,1423
15425,60,QUAL,30,354
16416,60,QUPH,20,38
16947,60,QURU,20,134
8313,61,ACRU,10,20
4238,61,PITA,30,540
17213,61,ULAL,10,31
12478,62,LITU,30,167
541,62,PIST,30,192
3149,62,PITA,20,242
6723,63,PIVI2,20,103
15066,63,QUAL,20,131
13738,64,LITU,10,18
14145,64,LITU,30,81
6880,64,PIVI2,20,379
7330,65,PIVI2,20,72
16845,65,QURU,20,417
13497,66,LITU,30,126
971,66,PITA,60,1100
972,66,PITA,90,1062
15706,67,QUAL,40,989
16960,67,QURU,30,795
7751,68,PIVI2,10,37
16183,68,QUFA,10,15
4258,69,PITA,10,47
979,69,PITA,20,99
7682,69,PIVI2,20,169
13505,70,LITU,30,76
7462,70,PIVI2,30,126
7224,71,PIVI2,40,329
15328,71,QUAL,30,200
12821,72,LITU,100,2613
10317,73,LIST,10,233
12454,73,LITU,10,39
7346,73,PIVI2,30,140
7104,73,PIVI2,40,342
990,74,PITA,20,176
4271,74,PITA,60,1829
9002,75,ACRU,50,510
50,75,PIEC,30,145
7559,75,PIVI2,40,329
8311,76,ACRU,20,47
15780,76,QUAL,30,138
13157,77,LITU,70,667
259,77,PIEC,50,789
12034,78,LIST,60,1483
13161,79,LITU,30,300
16029,79,QUFA,20,114
8806,80,ACRU,20,67
13043,80,LITU,70,507
15843,80,QUCO2,30,577
1005,81,PITA,90,1436
15112,81,QUAL,40,403
11188,82,LIST,50,614
16658,82,QUMO4,50,562
8324,83,ACRU,20,182
8447,83,ACRU,30,94
7128,83,PIVI2,50,1151
7776,84,ACRU,40,187
7882,84,ACRU,60,519
1012,84,PITA,50,573
10833,85,LIST,10,10
1015,85,PITA,10,57
10834,86,LIST,30,164
4297,86,PITA,30,649
8092,87,ACRU,30,254
8701,87,ACRU,40,157
9959,87,LIST,20,111
1019,87,PITA,50,597
7862,88,ACRU,10,51
1023,88,PITA,20,280
9472,89,CAGL8,20,38
14245,89,LITU,70,974
1025,89,PITA,20,59
1028,90,PITA,10,32
16679,90,QUMO4,30,254
4310,91,PITA,30,170
1031,91,PITA,40,570
15463,91,QUAL,10,38
9241,92,ACRU,40,107
16762,92,QUMO4,30,287
9762,93,FRAM2,30,267
13561,93,LITU,60,649
8349,94,ACRU,40,263
16187,94,QUFA,30,298
13080,95,LITU,10,28
12874,95,LITU,20,108
4319,95,PITA,20,451
9054,96,ACRU,40,233
1042,96,PITA,30,273
4323,96,PITA,60,504
2139,97,PITA,40,298
15561,97,QUAL,30,162
4327,98,PITA,20,270
7532,98,PIVI2,30,168
3965,99,PITA,20,100
9098,100,ACRU,70,1020
10502,100,LIST,140,1941
8976,101,ACRU,20,88
10261,101,LIST,30,496
15772,101,QUAL,20,65
13581,102,LITU,10,33
6969,102,PIVI2,30,272
7802,103,ACRU,20,167
13829,103,LITU,30,70
13221,103,LITU,40,130
11243,104,LIST,20,143
12858,104,LITU,60,654
4342,105,PITA,20,83
16065,105,QUFA,20,101
429,106,PIEC,40,299
7713,106,PIVI2,40,642
16268,106,QUFA,50,1050
4347,107,PITA,10,70
1068,108,PITA,20,73
4349,108,PITA,30,100
13840,109,LITU,10,14
12186,110,LIST,10,16
4351,110,PITA,10,64
4353,111,PITA,120,3599
3261,112,PITA,20,82
11623,113,LIST,30,150
3991,113,PITA,20,40
1077,114,PITA,20,316
7561,115,PIVI2,20,103
5453,116,PITA,60,977
4361,116,PITA,80,410
15433,116,QUAL,90,2007
11510,117,LIST,20,38
6064,117,PITA,30,264
112,118,PIEC,20,81
6067,118,PITA,20,59
10660,119,LIST,30,81
33,119,PIEC,50,371
8161,120,ACRU,40,731
11026,120,LIST,30,161
4368,120,PITA,20,144
4371,121,PITA,10,31
1092,121,PITA,20,127
4373,122,PITA,20,57
17217,122,ULAL,40,168
10185,123,LIST,30,163
16279,123,QUFA,30,276
3284,124,PITA,20,199
16236,124,QUFA,20,61
11281,125,LIST,10,31
5109,125,PITA,20,89
12019,126,LIST,10,13
4381,126,PITA,30,439
11529,127,LIST,20,20
4383,127,PITA,20,178
3291,127,PITA,30,257
1106,128,PITA,10,70
16986,128,QUST,20,105
11293,129,LIST,40,281
1108,129,PITA,30,273
8060,130,ACRU,10,15
7750,130,PIVI2,30,397
15340,130,QUAL,10,15
5974,131,PITA,20,32
4395,132,PITA,20,452
12152,133,LIST,20,62
3302,133,PITA,10,33
8799,134,ACRU,30,86
1117,134,PITA,40,548
1119,135,PITA,10,16
7480,136,PIVI2,50,885
14992,136,QUAL,70,1963
10571,137,LIST,30,234
12919,137,LITU,30,54
14746,137,PRSE2,30,71
14754,137,PRSE2,40,263
1126,138,PITA,10,33
14185,139,LITU,30,95
1127,139,PITA,40,282
8325,140,ACRU,20,37
9975,140,LIST,30,137
4409,140,PITA,20,118
15873,141,QUCO2,40,601
16580,141,QUMO4,30,115
16622,141,QUMO4,40,778
10953,142,LIST,20,132
3322,142,PITA,40,1003
4417,143,PITA,30,273
15040,143,QUAL,60,1366
11687,144,LIST,30,105
1139,144,PITA,20,139
5514,144,PITA,30,356
14403,145,LITU,30,80
1142,145,PITA,20,236
4424,146,PITA,20,144
4061,146,PITA,40,450
4427,146,PITA,50,597
11084,147,LIST,20,150
12416,148,LIST,10,31
12399,149,LIST,10,233
1149,149,PITA,10,55
1151,150,PITA,10,18
12066,151,LIST,20,111
4432,151,PITA,20,144
5527,151,PITA,30,90
14330,152,LITU,10,46
14126,152,LITU,20,50
1157,153,PITA,20,163
1158,154,PITA,20,270
5169,155,PITA,20,52
15270,155,QUAL,10,20
15509,155,QUAL,40,255
11341,156,LIST,20,251
1162,156,PITA,20,70
15639,156,QUAL,50,1395
16977,157,QUST,10,50
4446,158,PITA,30,273
10497,159,LIST,50,610
15275,159,QUAL,40,773
8607,160,ACRU,40,211
13694,160,LITU,50,405
8488,161,ACRU,20,101
3359,162,PITA,30,273
9097,163,ACRU,30,93
15731,163,QUAL,10,31
12091,164,LIST,10,31
16221,164,QUFA,30,296
13702,165,LITU,50,249
1178,166,PITA,10,46
4459,166,PITA,20,47
16331,167,QUPH,100,3344
1182,168,PITA,30,431
17020,168,QUST,10,42
9374,169,ACRU,10,37
1184,169,PITA,20,144
4465,169,PITA,40,369
12101,170,LIST,30,129
1187,170,PITA,30,224
1188,170,PITA,40,450
5564,171,PITA,30,526
4471,171,PITA,40,406
8834,172,ACRU,30,103
527,172,PIST,30,58
15138,172,QUAL,30,168
8511,173,ACRU,40,510
7193,173,PIVI2,90,1311
14633,174,OXAR,20,83
7190,174,PIVI2,40,848
7318,174,PIVI2,50,440
11627,175,LIST,30,99
1200,175,PITA,30,249
4482,176,PITA,160,951
16092,176,QUFA,10,20
11754,177,LIST,40,352
1204,177,PITA,10,70
4485,177,PITA,20,345
6625,178,PITA,20,179
12125,179,LIST,10,24
5582,179,PITA,20,144
14516,180,OXAR,20,54
1210,180,PITA,10,24
421,181,PIEC,30,219
6480,181,PITA,20,127
4494,181,PITA,30,512
1215,182,PITA,10,98
4496,182,PITA,20,168
11036,183,LIST,10,10
4497,183,PITA,20,78
15084,183,QUAL,40,424
3407,184,PITA,20,96
13382,185,LITU,10,11
1221,185,PITA,10,28
1222,185,PITA,20,51
4504,186,PITA,30,273
10203,187,LIST,30,129
3412,187,PITA,50,597
4508,188,PITA,20,218
14848,188,PRSE2,20,13
12021,189,LIST,30,135
4510,189,PITA,10,50
15461,190,QUAL,20,103
3419,191,PITA,30,467
1233,191,PITA,40,611
13035,192,LITU,80,1318
97,192,PIEC,40,202
4515,192,PITA,40,520
135,193,PIEC,70,964
1238,193,PITA,20,107
9006,194,ACRU,10,25
11425,194,LIST,10,31
4155,194,PITA,20,42
11426,195,LIST,30,129
1242,195,PITA,30,318
8684,196,ACRU,20,25
4524,196,PITA,20,138
1246,197,PITA,20,144
11796,198,LIST,40,195
15033,198,QUAL,10,61
12206,199,LIST,10,31
14792,199,PRSE2,10,7
4531,200,PITA,20,144
1252,200,PITA,30,177
1253,201,PITA,10,70
1254,201,PITA,20,144
4535,202,PITA,20,111
10709,203,LIST,20,156
1256,203,PITA,30,304
3445,204,PITA,30,541
4539,204,PITA,40,846
3448,205,PITA,20,68
1261,205,PITA,30,394
13669,206,LITU,30,144
3449,206,PITA,40,511
1264,207,PITA,20,144
11446,208,LIST,20,87
16107,208,QUFA,10,45
1267,209,PITA,20,362
3455,210,PITA,20,34
17026,210,QUST,20,77
10967,211,LIST,10,13
4550,211,PITA,20,177
7512,211,PIVI2,20,80
1273,212,PITA,20,179
6608,213,PITA,20,96
4555,213,PITA,40,277
3463,214,PITA,10,26
6138,214,PITA,20,52
5652,215,PITA,40,284
4559,216,PITA,50,514
16297,216,QUPH,20,73
13809,217,LITU,20,96
1282,218,PITA,20,102
8965,219,ACRU,20,44
11222,219,LIST,10,13
12036,220,LIST,30,132
13568,221,LITU,100,509
4567,221,PITA,20,38
11957,222,LIST,10,13
4568,222,PITA,20,361
12039,223,LIST,30,129
1290,223,PITA,20,144
3478,223,PITA,30,273
11110,224,LIST,30,173
14820,224,PRSE2,30,172
4575,225,PITA,30,330
8371,226,ACRU,10,15
4576,226,PITA,30,110
10267,227,LIST,30,147
3485,227,PITA,30,385
1300,228,PITA,20,59
6973,228,PIVI2,20,103
14790,228,PRSE2,30,90
14773,229,PRSE2,20,165
16635,229,QUMO4,40,713
3492,230,PITA,20,273
3493,231,PITA,20,144
9383,232,ACRU,20,25
1307,232,PITA,20,67
1309,233,PITA,10,24
329,234,PIEC,30,127
5685,234,PITA,30,134
9576,235,CAGL8,30,141
11132,235,LIST,60,278
7621,235,PIVI2,70,385
3502,236,PITA,30,211
17000,236,QUST,20,179
9203,237,ACRU,30,96
12230,237,LIST,10,34
9726,238,FRAM2,20,68
5693,238,PITA,10,50
1320,238,PITA,20,52
3509,239,PITA,10,72
4603,239,PITA,20,92
12551,240,LITU,20,89
4605,241,PITA,20,251
10073,242,LIST,70,849
4607,242,PITA,10,70
16405,242,QUPH,50,727
10130,243,LIST,40,462
16287,243,QUPH,100,3534
4611,244,PITA,20,258
4612,244,PITA,30,155
4613,245,PITA,10,74
4614,246,PITA,20,232
1335,246,PITA,30,142
11154,247,LIST,30,185
318,247,PIEC,40,254
4618,248,PITA,20,73
390,249,PIEC,30,39
7807,250,ACRU,50,510
15327,250,QUAL,60,472
11163,251,LIST,40,247
4622,251,PITA,40,789
5354,252,PITA,10,342
5355,252,PITA,20,119
1346,252,PITA,30,198
13145,253,LITU,60,686
15377,253,QUAL,50,1119
2443,254,PITA,20,220
16984,254,QUST,10,18
1351,255,PITA,40,450
6334,256,PITA,10,28
11537,257,LIST,20,496
1353,257,PITA,30,718
4635,258,PITA,70,1841
4636,258,PITA,120,919
8555,259,ACRU,10,37
4637,259,PITA,10,70
4638,259,PITA,20,115
1360,260,PITA,40,945
9861,261,FRPE,30,495
10815,261,LIST,30,95
10093,261,LIST,100,863
16075,262,QUFA,10,20
11546,263,LIST,10,31
1365,263,PITA,20,235
10085,264,LIST,10,47
1367,264,PITA,60,796
2462,264,PITA,120,1957
11678,265,LIST,140,3661
