Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_ACRU,CohortsHarvested_BENI,CohortsHarvested_CAGL8,CohortsHarvested_CATO6,CohortsHarvested_FAGR,CohortsHarvested_FRAM2,CohortsHarvested_FRPE,CohortsHarvested_JUNI,CohortsHarvested_JUVI,CohortsHarvested_LIST,CohortsHarvested_LITU,CohortsHarvested_NYSY,CohortsHarvested_OXAR,CohortsHarvested_PIEC,CohortsHarvested_PIST,CohortsHarvested_PITA,CohortsHarvested_PIVI2,CohortsHarvested_PLOC,CohortsHarvested_PRSE2,CohortsHarvested_QUAL,CohortsHarvested_QUCO2,CohortsHarvested_QUFA,CohortsHarvested_QUMO4,CohortsHarvested_QUPH,CohortsHarvested_QURU,CohortsHarvested_QUST,CohortsHarvested_QUVE,CohortsHarvested_ULAL,CohortsHarvested_ULAM,CohortsHarvested_PIPA,BiomassHarvestedMg_ACRU,BiomassHarvestedMg_BENI,BiomassHarvestedMg_CAGL8,BiomassHarvestedMg_CATO6,BiomassHarvestedMg_FAGR,BiomassHarvestedMg_FRAM2,BiomassHarvestedMg_FRPE,BiomassHarvestedMg_JUNI,BiomassHarvestedMg_JUVI,BiomassHarvestedMg_LIST,BiomassHarvestedMg_LITU,BiomassHarvestedMg_NYSY,BiomassHarvestedMg_OXAR,BiomassHarvestedMg_PIEC,BiomassHarvestedMg_PIST,BiomassHarvestedMg_PITA,BiomassHarvestedMg_PIVI2,BiomassHarvestedMg_PLOC,BiomassHarvestedMg_PRSE2,BiomassHarvestedMg_QUAL,BiomassHarvestedMg_QUCO2,BiomassHarvestedMg_QUFA,BiomassHarvestedMg_QUMO4,BiomassHarvestedMg_QUPH,BiomassHarvestedMg_QURU,BiomassHarvestedMg_QUST,BiomassHarvestedMg_QUVE,BiomassHarvestedMg_ULAL,BiomassHarvestedMg_ULAM,BiomassHarvestedMg_PIPA,
50, 1, OH_RESISTANCE, 21, 6, 21, 288.955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 0, 0, 6, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122.42, 0, 0, 0, 0, 0, 0, 0, 0, 43.78, 33.415, 9.545, 0, 0, 42.435, 11.44, 25.92, 0, 0, 0, 
50, 1, OP_RESISTANCE, 15, 0, 26, 117.62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59.53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24, 0, 16.065, 0, 5.465, 0, 29.32, 0, 0, 0, 
50, 2, OH_RESISTANCE, 3, 0, 3, 34.77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.285, 0, 0, 0, 0, 0, 11.485, 0, 0, 0, 0, 
50, 2, OP_RESISTANCE, 3, 0, 4, 20.945, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.245, 0, 5.12, 0, 2.84, 0, 0, 0, 
50, 3, OP_RESISTANCE, 1, 0, 1, 8.325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.325, 0, 0, 0, 0, 0, 0, 0, 
60, 1, OH_RESISTANCE, 23, 0, 23, 219.35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 17, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.97, 12.725, 0, 26.29, 142.81, 12.555, 0, 0, 0, 0, 
60, 1, OP_RESISTANCE, 15, 0, 21, 115.21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 4, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37.585, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14.58, 0, 9.125, 7.74, 20.61, 7.67, 17.9, 0, 0, 0, 
60, 2, OH_RESISTANCE, 4, 0, 4, 34.11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.11, 0, 0, 0, 0, 0, 
60, 2, OP_RESISTANCE, 4, 0, 5, 27.28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.635, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.87, 7.65, 3.125, 0, 0, 0, 
60, 3, OH_RESISTANCE, 4, 1, 4, 58.34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.19, 0, 0, 11.24, 7.975, 0, 4.31, 0, 0, 0, 
