Year,Month,ClimateRegionIndex,SpeciesName,CohortAge,CohortWoodBiomass,CohortLeafBiomass,CohortBiomass,MortalityAGEwoodBiomass,MortalityAGEleafBiomass,MortalityTHINwoodBiomass,MortalityTHINleafBiomass,BaseLAI,SeaonalAdjustLAI,ActualLAI,SiteLAI,TreeLAI,GrowthLimitLAI,GrowthLimitSoilWater,GrowthLimitT,GrowthLimitN,GrowthLimitLAIcompetition,MaximumANPP,ActualWoodANPP,ActualLeafANPP,DeltaWood,DeltaLeaf,CohortMaximumBiomass,TotalSiteBiomass,AvailableWater,SoilTemperature,MineralNalloc,ResorbedNalloc,MineralNconsumed,ResorbedNconsumed,TotalNDemand,
10, 7, 1, QUAL, 10, 20, 0, 20, 0, 0, 0.06, 0, 0, 0, 1, 1, 1, 0.37, 0.01, 0.66, 1, 0.87, 380, 0.656, 0.164, 0.596, 0.164, 37000, 20, 1.6, 33, 3.706, 0, 0.01, 0, 0.01, 
10, 8, 1, QUAL, 10, 20.6, 0.2, 20.8, 0, 0, 0.062, 0, 0, 0.07, 1, 1, 1, 0.37, 0.01, 0.56, 1, 0.87, 380, 0.555, 0.1387, 0.493, 0.1387, 37000, 20, 1.8, 33.7, 3.536, 0, 0.009, 0, 0.009, 
10, 9, 1, QUAL, 10, 21.1, 0.3, 21.4, 0, 0, 0.065, 0, 0, 0.12, 1, 1, 1, 0.37, 1, 0.94, 1, 0.87, 380, 93.286, 23.3214, 93.221, 23.3214, 37000, 21, 13.1, 29.1, 3.348, 0, 1.456, 0, 1.456, 
10, 10, 1, QUAL, 10, 114.3, 23.6, 137.9, 0, 0, 0.345, 23.62408, 0.1, 1, 1, 1, 1, 0.37, 1, 0.93, 0.15, 0.87, 380, 13.451, 3.3628, 13.107, -20.2613, 37000, 137, 4.1, 18.9, 0.21, 0, 0.21, 0, 0.21, 
10, 11, 1, QUAL, 10, 127.4, 3.4, 130.8, 0, 0, 0.387, 3.36281, 0.1, 0.76, 1, 1, 1, 0.37, 1, 0.84, 0.51, 0.87, 380, 42.419, 10.6048, 42.032, 7.242, 37000, 130, 9.4, 14.4, 0.22, 0.443, 0, 0, 0.662, 
10, 12, 1, QUAL, 10, 169.4, 10.6, 180.1, 0, 0, 0.508, 10.60477, 0.2, 0.99, 0, 0, 0, 0, 1, 0.69, 1, 1, 380, 0, 0, -0.508, -10.6048, 37000, 180, 3.3, 7.6, 0.204, 0.506, 0, 0, 0, 
10, 1, 1, QUAL, 10, 168.9, 0, 168.9, 0, 0, 0.507, 0, 0.2, 0, 0, 0, 0, 0, 1, 0.6, 1, 1, 380, 0, 0, -0.507, 0, 37000, 168, 7, 3.3, 0.407, 0.704, 0, 0, 0, 
10, 2, 1, QUAL, 10, 168.4, 0, 168.4, 0, 0, 0.505, 0, 0.2, 0, 0, 0, 0, 0, 1, 0.59, 1, 1, 380, 0, 0, -0.505, 0, 37000, 168, 9.7, 2.6, 0.658, 0.704, 0, 0, 0, 
10, 3, 1, QUAL, 10, 167.9, 0, 167.9, 0, 0, 0.504, 0, 0.2, 0, 0, 0, 0, 0, 1, 0.84, 1, 1, 380, 0, 0, -0.504, 0, 37000, 167, 18.6, 14.4, 0.877, 0.704, 0, 0, 0, 
10, 4, 1, QUAL, 10, 167.4, 0, 167.4, 0, 0, 0.517, 0, 0.2, 0, 1, 1, 1, 0.37, 1, 0.93, 1, 0.87, 380, 92.464, 23.1161, 91.948, 23.1161, 37000, 167, 7.6, 18.8, 0.947, 0.704, 0.739, 0.704, 1.443, 
