Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1726.1, 20, 0, 3.5, 11.6, 
10, -158.3, 1138.4, 2326, 183.3, 1.74, 41.8, 
20, -63.8, 1306.5, 4771, 131.4, 1.53, 91.3, 
30, -135.9, 1563.7, 6348, 228.3, 1.86, 117.2, 
40, -125.5, 1794.8, 7757, 282.6, 1.89, 102.2, 
50, -116.2, 2068.8, 9047, 265.5, 1.82, 153.4, 
60, -85.1, 2346.3, 10045, 264.8, 2.01, 171.8, 
70, -62.9, 2572.5, 10722, 264.3, 2.27, 184.3, 
80, -46.8, 2751.1, 11181, 264, 2.53, 192.8, 
90, -35.4, 2889.7, 11491, 263.8, 2.81, 198.6, 
100, -27.3, 2996.4, 11700, 263.6, 3.19, 202.5, 
