Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,PET,avgCWD,avgAET,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,meanSoilWaterContent,SoilWaterContent,AnaerobicEffect,
10, 7, eco1, 1, 1, 9.9, 25.7, 15.7, 7.9, 7.8, 1.02, 2.85, 2.58, 1.83, 0.2, 0.01, 0.52, 2.35, 1, 
10, 8, eco1, 1, 1, 11.8, 26.1, 15.1, 5.9, 9.3, 5.15, 3.96, 4.64, -1.19, 0.21, 0.01, 0.57, 2.35, 1, 
10, 9, eco1, 1, 1, 11.1, 20.5, 9.3, 0.9, 8.4, 32.59, 7.62, 15.4, -24.97, 0.21, 0.02, 0.6, 2.35, 1, 
10, 10, eco1, 1, 1, 8.6, 11.6, 3.6, 0, 3.6, 74.95, 12.64, 31.37, -62.3, 0.2, 0.01, 0.67, 3.91, 1, 
10, 11, eco1, 1, 1, 10.3, 10, 2.6, 0, 2.6, 55.02, 10.47, 23.68, -44.55, 0.21, 0.02, 0.91, 5.06, 0.79, 
10, 12, eco1, 1, 1, 2.7, 4.8, 0.8, 0, 0.8, 0, 7.24, 5.38, 7.24, 0.19, 0.01, 0.54, 4.14, 0.69, 
10, 1, eco1, 1, 1, 8, 1.3, 0.1, 0, 0.1, 0, 6.86, 5.37, 6.86, 0.2, 0.01, 0.59, 4.44, 1, 
10, 2, eco1, 1, 1, 4.7, 4.7, 0.8, 0, 0.8, 0, 5.54, 3.72, 5.54, 0.2, 0.02, 0.77, 5.06, 0.3, 
10, 3, eco1, 1, 1, 5.8, 10.3, 3.2, 0, 3.2, 0, 11.2, 8.7, 11.2, 0.2, 0.03, 0.88, 5.06, 0.91, 
10, 4, eco1, 1, 1, 7.4, 14.1, 5.5, 0, 5.5, 65.72, 13.87, 29.79, -51.84, 0.2, 0.03, 0.69, 3.49, 1, 
10, 5, eco1, 1, 1, 7.3, 19, 9.7, 3.3, 6.4, 10.11, 3.17, 5.42, -6.94, 0.2, 0.01, 0.5, 2.35, 1, 
10, 6, eco1, 1, 1, 7, 22.8, 12.9, 7.5, 5.4, 1.04, 1.86, 1.77, 0.82, 0.2, 0.01, 0.43, 2.35, 1, 
20, 7, eco1, 1, 1, 8.4, 26, 16, 9.4, 6.6, 1.17, 3.3, 2.72, 2.13, 0.2, 0.01, 0.47, 2.35, 1, 
20, 8, eco1, 1, 1, 8.6, 25.1, 14.1, 7.3, 6.8, 1.17, 3.69, 2.98, 2.51, 0.2, 0.01, 0.47, 2.35, 1, 
20, 9, eco1, 1, 1, 8.4, 23, 10.9, 4.3, 6.6, 1.17, 4.22, 3.33, 3.05, 0.2, 0.01, 0.47, 2.35, 1, 
20, 10, eco1, 1, 1, 4.8, 15.8, 5.4, 1.7, 3.7, 1.03, 2.48, 2.03, 1.45, 0.2, 0, 0.37, 2.35, 1, 
20, 11, eco1, 1, 1, 4.7, 10.6, 2.4, 0, 2.4, 58.57, 16.83, 28.48, -41.74, 0.2, 0.01, 0.45, 2.87, 1, 
20, 12, eco1, 1, 1, 10.8, 7.3, 1.3, 0, 1.3, 0, 10.35, 5.86, 10.35, 0.21, 0.04, 0.91, 5.06, 0.32, 
20, 1, eco1, 1, 1, 19.6, 6.4, 1, 0, 1, 0, 9.54, 5.4, 9.54, 0.22, 0.11, 1.47, 5.06, 0.3, 
20, 2, eco1, 1, 1, 13.9, 7.4, 1.3, 0, 1.3, 0, 10, 5.72, 10, 0.21, 0.08, 1.17, 5.06, 0.3, 
20, 3, eco1, 1, 1, 13.8, 9.4, 2.4, 0, 2.4, 0, 12.99, 8.29, 12.99, 0.21, 0.09, 1.15, 5.06, 0.53, 
20, 4, eco1, 1, 1, 13.9, 14.5, 5.2, 0, 5.2, 66.44, 21.91, 34.78, -44.53, 0.21, 0.08, 1.1, 5.06, 0.95, 
20, 5, eco1, 1, 1, 10.8, 20.9, 10.8, 0.6, 10.2, 45.33, 14.08, 23.31, -31.26, 0.21, 0.03, 0.69, 2.35, 1, 
