# precip,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm),VARIANCE(mm^2),STD_DEV(mm)
1979-01-01T00:00:00Z,14.424121,92.59123,9.622434
1979-01-02T00:00:00Z,18.115688,18.938375,4.3518243
1979-01-03T00:00:00Z,0,0,0
1979-01-04T00:00:00Z,0.006790926,0.002060045,0.045387715
1979-01-05T00:00:00Z,1.3602281,1.4696884,1.2123071
1979-01-06T00:00:00Z,5.3673196,3.1111956,1.7638582
1979-01-07T00:00:00Z,9.562809,7.4977636,2.7382045
1979-01-08T00:00:00Z,2.3020184,1.0110791,1.0055243
1979-01-09T00:00:00Z,0,0,0
1979-01-10T00:00:00Z,0,0,0
1979-01-11T00:00:00Z,0,0,0
1979-01-12T00:00:00Z,17.708824,25.785803,5.0779724
1979-01-13T00:00:00Z,6.0895715,6.2649813,2.5029945
1979-01-14T00:00:00Z,0.057976406,0.019777786,0.14063351
1979-01-15T00:00:00Z,2.93E-05,8.81E-06,0.002967603
1979-01-16T00:00:00Z,0,0,0
1979-01-17T00:00:00Z,0.019294817,0.010261056,0.10129687
1979-01-18T00:00:00Z,0.5503761,0.5161713,0.7184506
1979-01-19T00:00:00Z,7.770085,14.197752,3.7679904
1979-01-20T00:00:00Z,43.4587,31.284008,5.593211
1979-01-21T00:00:00Z,10.4055805,24.586096,4.958437
1979-01-22T00:00:00Z,0.09622185,0.12780578,0.35749936
1979-01-23T00:00:00Z,1.9760185,3.1654685,1.7791764
1979-01-24T00:00:00Z,13.460326,10.928937,3.3058941
1979-01-25T00:00:00Z,2.43E-05,9.61E-06,0.003099754
1979-01-26T00:00:00Z,0.12394521,0.08097562,0.28456217
1979-01-27T00:00:00Z,1.3389367,0.31919336,0.564972
1979-01-28T00:00:00Z,0.28087232,0.14389531,0.37933534
1979-01-29T00:00:00Z,0,0,0
1979-01-30T00:00:00Z,0,0,0
1979-01-31T00:00:00Z,0.6754356,0.58905095,0.7674966
1979-02-01T00:00:00Z,1.10E-04,3.30E-05,0.0057428
1979-02-02T00:00:00Z,0,0,0
1979-02-03T00:00:00Z,0.06894511,0.04274833,0.2067567
1979-02-04T00:00:00Z,0.013218897,0.007620022,0.08729274
1979-02-05T00:00:00Z,0,0,0
1979-02-06T00:00:00Z,12.226189,22.302559,4.7225585
1979-02-07T00:00:00Z,10.746152,4.2312675,2.0570045
1979-02-08T00:00:00Z,0.8135973,0.64804,0.8050093
1979-02-09T00:00:00Z,0.6694369,0.66913944,0.81800944
1979-02-10T00:00:00Z,0,0,0
1979-02-11T00:00:00Z,1.84E-04,6.89E-05,0.008297592
1979-02-12T00:00:00Z,0.036275376,0.04846627,0.22015056
1979-02-13T00:00:00Z,0.091707535,0.070516974,0.26555032
1979-02-14T00:00:00Z,0,0,0
1979-02-15T00:00:00Z,0.08858513,0.12232043,0.34974337
1979-02-16T00:00:00Z,0,0,0
1979-02-17T00:00:00Z,0.051874243,0.015929235,0.12621108
1979-02-18T00:00:00Z,25.001902,24.12419,4.9116383
1979-02-19T00:00:00Z,0.7203741,1.1794405,1.0860205
1979-02-20T00:00:00Z,2.1006494,0.9893522,0.99466187
1979-02-21T00:00:00Z,2.0399463,1.5214497,1.2334706
1979-02-22T00:00:00Z,5.3009524,4.476412,2.1157532
1979-02-23T00:00:00Z,28.26445,59.23608,7.696498
1979-02-24T00:00:00Z,38.135044,30.376669,5.511503
1979-02-25T00:00:00Z,17.917154,37.277576,6.1055365
1979-02-26T00:00:00Z,0.7722241,0.22025093,0.469309
1979-02-27T00:00:00Z,0,0,0
1979-02-28T00:00:00Z,0.03775134,0.022249283,0.14916193
1979-03-01T00:00:00Z,1.0515254,0.28105384,0.5301451
1979-03-02T00:00:00Z,0.6368938,1.8302376,1.3528627
1979-03-03T00:00:00Z,3.0243409,40.06647,6.329808
1979-03-04T00:00:00Z,15.053797,241.63475,15.544605
