SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass,CWDBegin,CWDMax,LightLAIShape,LightLAIScale,LightLAILocation
JUVI,1,FALSE,1721,5537,-10,0.397,3,FALSE,0.262,0.225,0.312,0.204,41.8,43,333,84,74,320,18000,200,400,1.2892116,3,0
QUPH,3,FALSE,3915,7000,1,0.423,1,FALSE,0.293,0.23,0.23,0.35,24,48,500,333,55,380,34000,200,400,1.202547,3,0
ULAL,2,FALSE,1204,6960,-20,0.264,1,FALSE,0.137,0.27,0.2,0.251,25.5,26,417,50,65,380,36000,200,400,1.2814587,3,0
ULAM,2,FALSE,1204,6960,-20,0.264,1,FALSE,0.137,0.27,0.2,0.251,25.5,26,417,50,65,380,36000,200,400,1.5128789,3,0
PIST,1,FALSE,1100,3165,-20,0.372,3,FALSE,0.263,0.225,0.3104,0.204,40.7,43,398,84,55,300,27000,200,400,2.0833341,3,0
ACRU,2,FALSE,1260,6600,-18,0.23,1,FALSE,0.183,0.334,0.125,0.312,28.2,26,565,50,55,250,31000,200,400,1.2796318,3,0
LITU,2,FALSE,3000,6000,-7,0.3,1,FALSE,0.331,0.255,0.255,0.255,25,45,90,90,45,300,25000,200,400,1.371359,3,0
QUMO4,4,FALSE,1910,4110,-7,0.285,1,FALSE,0.251,0.23,0.23,0.23,24,48,500,333,55,400,35000,200,400,1.9757289,3,0
PIVI2,1,FALSE,2660,3671,-3,0.226,2,FALSE,0.263,0.225,0.3104,0.204,20.8,43,398,84,55,300,15000,200,400,1.3153189,3,0
PITA,1,FALSE,3165,5993,4,0.36,3,FALSE,0.2,0.2,0.35,0.35,26.1,53,716,170,100,400,15000,200,400,0.940466,3,0
CAGL8,2,FALSE,1910,6960,-7,0.2,1,FALSE,0.187,0.24,0.2,0.251,26.741,25,294,49,43,350,10000,200,400,1.5713236,3,0
PIEC,1,FALSE,2660,5076,-1,0.385,2,FALSE,0.255,0.2,0.35,0.35,52.08,50,346,170,100,450,21100,200,400,1.1685785,3,0
BENI,2,FALSE,1100,2500,-18,0.2,1,FALSE,0.219,0.27,0.2018,0.251,21,26,365,50,65,220,12000,200,400,1.3054671,3,0
CATO6,2,FALSE,1910,5500,-7,0.2,1,FALSE,0.187,0.27,0.2,0.251,26.6742,25,294,49,43,450,29000,200,400,1.4258641,3,0
FAGR,2,FALSE,1326,5537,-12,0.28,1,FALSE,0.172,0.255,0.255,0.255,25,45,90,90,45,250,24000,200,400,1.7808662,3,0
FRAM2,2,FALSE,1398,5993,-12,0.28,1,FALSE,0.114,0.27,0.2018,0.251,22.9,26,189,50,65,380,36000,200,400,1.5552447,3,0
FRPE,2,FALSE,1050,5993,-23,0.114,1,FALSE,0.144,0.27,0.2018,0.251,22.9,26,455,50,65,450,37000,200,400,1.5367793,3,0
JUNI,2,FALSE,1910,4571,-8,0.3,1,FALSE,0.187,0.24,0.2,0.251,26.741,25,294,49,43,450,8000,200,400,1.3404362,3,0
LIST,2,FALSE,2660,5993,-1,0.3,1,FALSE,0.331,0.255,0.255,0.255,25,45,90,90,45,300,38000,200,400,1.1707071,3,0
NYSY,2,FALSE,1910,6960,-2,0.301,1,FALSE,0.172,0.255,0.255,0.255,25,45,90,90,45,300,16000,200,400,1.5091744,3,0
OXAR,2,FALSE,1910,6960,-2,0.3,1,FALSE,0.336,0.255,0.255,0.255,25,45,90,90,55,255,6000,200,400,1.6466546,3,0
PLOC,2,FALSE,1926,5482,-7,0.12,1,FALSE,0.219,0.27,0.2018,0.251,21,26,365,50,65,220,37000,200,400,1.1001516,3,0
PRSE2,2,FALSE,2132,5993,-10,0.3,1,FALSE,0.175,0.27,0.2,0.251,18.1,25,108,49,65,380,17000,200,400,1.1667702,3,0
QUAL,3,FALSE,1721,5537,-12,0.33,1,FALSE,0.175,0.27,0.2,0.251,18.1,25,108,49,65,380,37000,200,400,1.6089935,3,0
QUCO2,4,FALSE,2037,4571,-7,0.286,1,FALSE,0.262,0.23,0.23,0.23,24,48,500,333,55,350,40000,200,400,1.673261,3,0
QUFA,4,FALSE,2660,5993,2,0.723,1,FALSE,0.293,0.23,0.23,0.23,24,48,500,333,55,380,29000,200,400,1.2391179,3,0
QURU,3,FALSE,1100,4571,-17,0.225,1,FALSE,0.249,0.334,0.225,0.303,18.5,58,345,113,32,250,37000,200,400,1.7256277,3,0
QUST,4,FALSE,2660,5993,-10,0.3,1,FALSE,0.175,0.27,0.2,0.251,18.1,25,108,49,65,380,20000,200,400,1.218243,3,0
QUVE,4,FALSE,1810,5076,-10,0.3,1,FALSE,0.336,0.255,0.255,0.255,25,45,90,90,55,225,26000,200,400,1.531366,3,0
PIPA,1,FALSE,3200,6000,4,0.423,2,FALSE,0.2,0.2,0.35,0.35,50,50,380,170,100,350,33000,200,400,0.8588318,3,0
